periode,kode,kategori,teks_diri,teks_publik
pengukuran,Q15,Self-Maturity (Kematangan Diri),Saya Memiliki kemampuan mempengaruhi dan membangun gerakan kebaikan,Yang bersangkutan Memiliki kemampuan mempengaruhi dan membangun gerakan kebaikan
pengukuran,Q16,Self-Maturity (Kematangan Diri),Saya Berani mengambil keputusan yang tepat dalam kondisi mendesak,Yang bersangkutan Berani mengambil keputusan yang tepat dalam kondisi mendesak
pengukuran,Q17,Self-Maturity (Kematangan Diri),Saya mampu mengindentifikasi skala prioritas dalam menjalani amanah ataupun tujuan hidup,Yang bersangkutan mampu mengindentifikasi skala prioritas dalam menjalani amanah ataupun tujuan hidup
pengukuran,Q18,Self-Maturity (Kematangan Diri),Saya mampu mengidentifikasi keperluan pribadi yang tidak merugikan orang lain,Yang bersangkutan mampu mengidentifikasi keperluan pribadi yang tidak merugikan orang lain
pengukuran,Q19,Competency Enrichment (Pengayaan Kompetensi),Saya Memiliki kepedulian terhadap orang lain melalui insiatif sosial,Yang bersangkutan Memiliki kepedulian terhadap orang lain melalui insiatif sosial
pengukuran,Q20,Competency Enrichment (Pengayaan Kompetensi),Saya Memiliki karya yang bermanfaat ditengah masyarakat,Yang bersangkutan dinilai Memiliki karya yang bermanfaat ditengah masyarakat
pengukuran,Q21,Competency Enrichment (Pengayaan Kompetensi),Saya Memiliki ide yang terbarukan untuk memecahkan permasalahan yang ada di masyarakat dan bersifat sustainable,Yang bersangkutan dinilai memiliki ide yang terbarukan untuk memecahkan permasalahan yang ada di masyarakat dan bersifat sustainable
pengukuran,Q22,Competency Enrichment (Pengayaan Kompetensi),Saya Memiliki ide aktivitas sosial berupa project yang dijalankan untuk kepentingan masyarakat,Yang bersangkutan Memiliki ide aktivitas sosial berupa project yang dijalankan untuk kepentingan masyarakat
pengukuran,Q23,Competency Enrichment (Pengayaan Kompetensi),Saya Menjuarai kompetisi/memiliki karya sesuai dengan keahlian yang dimiliki,Yang bersangkutan Menjuarai kompetisi/memiliki karya sesuai dengan keahlian yang dimiliki
pengukuran,Q24,Competency Enrichment (Pengayaan Kompetensi),Saya mengikuti kegiatan Magang atau mengikuti pertukaran antar Univ/Negara,Yang bersangkutan mengikuti kegiatan Magang atau mengikuti pertukaran antar Univ/Negara
pengukuran,Q25,Competency Enrichment (Pengayaan Kompetensi),Saya Memiliki kemampuan menggunakan teknologi terkini,Yang bersangkutan Memiliki kemampuan menggunakan teknologi terkini
pengukuran,Q26,Competency Enrichment (Pengayaan Kompetensi),"Saya ""Agile"" dan adapatif terhadap sesuatu yang baru",Yang bersangkutan dinilai Agile dan adapatif terhadap sesuatu yang baru
pengukuran,Q27,Competency Enrichment (Pengayaan Kompetensi),Saya Selalu bersikap optimistis,Yang bersangkutan dinilai Selalu bersikap optimistis
pengukuran,Q28,Competency Enrichment (Pengayaan Kompetensi),"Saya Memiliki kemampuan ""public speaking"" yang mumpuni",Yang bersangkutan dinilai memiliki kemampuan public speaking yang mumpuni
pengukuran,Q29,Competency Enrichment (Pengayaan Kompetensi),Saya Mampu menyampaikan pesan dengan lugas dan mudah dimengerti,Yang bersangkutan dinilai Mampu menyampaikan pesan dengan lugas dan mudah dimengerti
pengukuran,Q30,Competency Enrichment (Pengayaan Kompetensi),Saya Memiliki kemampuan analitis dan daya kritis atas permasalahan yang terjadi pada skala nasional,Yang bersangkutan dinilai Memiliki kemampuan analitis dan daya kritis atas permasalahan yang terjadi pada skala nasional
pengukuran,Q31,Competency Enrichment (Pengayaan Kompetensi),"Saya Mampu membaca perubahan ""trend"" yang akan terjadi di masa depan",Yang bersangkutan mampu membaca perubahan trend yang akan terjadi di masa depan
pengukuran,Q32,Competency Enrichment (Pengayaan Kompetensi),Saya Mampu mempengaruhi dan membangun kolaborasi untuk mencapai tujuan bersama,Yang bersangkutan Mampu mempengaruhi dan membangun kolaborasi untuk mencapai tujuan bersama
pengukuran,Q33,Competency Enrichment (Pengayaan Kompetensi),Saya Memiliki TOEFL minimal 500 atau IELTS minimal 6.0 atau nilai yang setara dengannya untuk bahasa asing lainnya,Yang bersangkutan Memiliki TOEFL minimal 500 atau IELTS minimal 6.0 atau nilai yang setara dengannya untuk bahasa asing lainnya
pengukuran,Q34,Competency Enrichment (Pengayaan Kompetensi),Saya Membangun kepercayaan melalui kompetensi yang dimiliki,Yang bersangkutan dinilai mampu Membangun kepercayaan melalui kompetensi yang dimiliki
pengukuran,Q35,Competency Enrichment (Pengayaan Kompetensi),Saya Mempunyai standar kualitas yang tinggi dalam mencapai tujuan,Yang bersangkutan dinilai mempunyai standar kualitas yang tinggi dalam mencapai tujuan
pengukuran,Q36,Competency Enrichment (Pengayaan Kompetensi),Saya Menciptakan pengaruh melalui skill yang dimiliki dengan metode atau cara terbaru,Yang bersangkutan dinilai dapat menciptakan pengaruh melalui skill yang dimiliki dengan metode atau cara terbaru
pengukuran,Q37,Competency Enrichment (Pengayaan Kompetensi),Saya Mampu membaca dan memetakan permasalahan dengan konsep berfikir yang ilmiah,Yang bersangkutan dinilai Mampu membaca dan memetakan permasalahan dengan konsep berfikir yang ilmiah
pengukuran,Q38,Competency Enrichment (Pengayaan Kompetensi),Saya Memiliki roadmap yang jelas dalam mencapai tujuan berdasarkan personalized Curriculum,Yang bersangkutan dinilai Memiliki roadmap yang jelas dalam mencapai tujuan berdasarkan personalized Curriculum
pengukuran,Q39,Competency Enrichment (Pengayaan Kompetensi),Saya Mengetahui cara serta strategi efektif dalam mencapai tujuan tersebut,Yang bersangkutan dinilai mengetahui cara serta strategi efektif dalam mencapai tujuan tersebut
pengukuran,Q40,Bringing Inspiration (Penyedia Inspirasi),Saya Mampu mempersiapkan calon pemimpin berikutnya,Yang bersangkutan dinilai mampu mempersiapkan calon pemimpin berikutnya
pengukuran,Q41,Bringing Inspiration (Penyedia Inspirasi),Saya Mampu menghasilkan SDM yang dapat melanjutkan gerakan kebaikan,Yang bersangkutan dinilai mampu menghasilkan SDM yang dapat melanjutkan gerakan kebaikan
pengukuran,Q42,Bringing Inspiration (Penyedia Inspirasi),Saya Memiliki aktivitas sosial yang bermanfaat bagi lingkungan sekitar,Yang bersangkutan dinilai memiliki aktivitas sosial yang bermanfaat bagi lingkungan sekitar
pengukuran,Q43,Bringing Inspiration (Penyedia Inspirasi),Saya Melakukan proses advokasi atas permasalahan yang terjadi di lingkungan sekitar,Yang bersangkutan telah melakukan proses advokasi atas permasalahan yang terjadi di lingkungan sekitar
pengukuran,Q44,Bringing Inspiration (Penyedia Inspirasi),Saya Bersikap adaptif dan tidak menolak perubahan,Yang bersangkutan Bersikap adaptif dan tidak menolak perubahan
pengukuran,Q45,Bringing Inspiration (Penyedia Inspirasi),Saya Tergabung dalam organisasi/komunitas di masyarakat,Yang bersangkutan Tergabung dalam organisasi/komunitas di masyarakat
pengukuran,Q46,Bringing Inspiration (Penyedia Inspirasi),Saya Terlibat dan menghasilkan ide gagasan baru untuk menyelesaikan permasalahan yang dihadapi,Yang bersangkutan terlibat dan menghasilkan ide gagasan baru untuk menyelesaikan permasalahan yang dihadapi
pengukuran,Q47,Bringing Inspiration (Penyedia Inspirasi),Saya Mampu menggalang sumberdaya dan bekerja sama untuk mencapai tujuan bersama,Yang bersangkutan Mampu menggalang sumberdaya dan bekerja sama untuk mencapai tujuan bersama
pengukuran,Q48,Bringing Inspiration (Penyedia Inspirasi),"Saya Memiliki kemampuan melakukan proses ""empowerement"" di lingkungan tempat tinggal",Yang bersangkutan Memiliki kemampuan melakukan proses empowerement di lingkungan tempat tinggal
pengukuran,Q49,Bringing Inspiration (Penyedia Inspirasi),Saya Memiliki sikap melayani dalam menghadirkan kebermanfaatan publik,Yang bersangkutan Memiliki sikap melayani dalam menghadirkan kebermanfaatan publik
pengukuran,Q50,Bringing Inspiration (Penyedia Inspirasi),Saya Mampu mempengaruhi dan membangun kolaborasi untuk mencapai tujuan bersama,Yang bersangkutan Mampu mempengaruhi dan membangun kolaborasi untuk mencapai tujuan bersama
leadpro,Q1,Dampak Leadership Project,,Leadership Project yang dijalankan memberikan dampak positif yang nyata bagi komunitas atau penerima manfaat.
leadpro,Q2,Dampak Leadership Project,,Sasaran Leadership Project telah tercapai sesuai dengan tujuannya
leadpro,Q3,Dampak Leadership Project,,"Penerima manfaat leadership project menunjukkan perubahan perilaku, pemahaman, atau kondisi setelah leadership project dilaksanakan"
leadpro,Q4,Dampak Leadership Project,,Apakah Leadership Project ini menjawab kebutuhan nyata di masyarakat.
leadpro,Q5,Dampak Leadership Project,,Leadership Project ini memiliki potensi untuk dilanjutkan atau direplikasi di tempat lain.
leadpro,Q6,Dampak Leadership Project,,Apakah Leadership yang diimplementasikan berhasil mempengaruhi kebijakan yang lebih luas!
leadpro,Q7,Dampak Leadership Project,,"Apakah Leadership project tersebut berpotensi ?membangun kemitraan dengan pemangku kepentingan terkait (pemerintah, swasta, lembaga filantropi, komunitas, dan sejenisnya)?"
leadpro,Q8,Peran dan Pengalaman Kepemimpinan,,Awardee BAKTI NUSA 15 memiliki peran aktif dan sentral dalam pelaksanaan leadership project
leadpro,Q9,Peran dan Pengalaman Kepemimpinan,,Awardee BAKTI NUSA 15 mampu mengambil keputusan penting selama Leadership project berlangsung.
leadpro,Q10,Peran dan Pengalaman Kepemimpinan,,Awardee BAKTI NUSA 15 mampu memimpin tim secara efektif.
leadpro,Q11,Peran dan Pengalaman Kepemimpinan,,Awardee BAKTI NUSA 15 mampu mengelola konflik dan tantangan yang muncul selama proyek.
leadpro,Q12,Peran dan Pengalaman Kepemimpinan,,Awardee BAKTI NUSA 15 merasa lebih percaya diri dalam menjalankan peran sebagai pemimpin setelah menyelesaikan Leadership project ini.
leadpro,Q13,Pengembangan Kapasitas Pribadi,,Leadership Project ini membantu saya meningkatkan kemampuan komunikasi interpersonal.
leadpro,Q14,Pengembangan Kapasitas Pribadi,,Saya menjadi lebih peka terhadap isu sosial dan kebutuhan masyarakat.
leadpro,Q15,Pengembangan Kapasitas Pribadi,,Saya merasa lebih tangguh dan adaptif dalam menghadapi tantangan.
leadpro,Q16,Pengembangan Kapasitas Pribadi,,Saya belajar mengelola waktu dan sumber daya secara lebih efektif.
leadpro,Q17,Pengembangan Kapasitas Pribadi,,Saya menjadi lebih reflektif dan mampu mengevaluasi tindakan saya sebagai pemimpin.
leadpro,Q18,Refleksi dan Rencana Ke Depan,,Saya merasa puas dengan pelaksanaan leadership project yang dilakukan oleh Awardee BAKTI NUSA 15
leadpro,Q19,Refleksi dan Rencana Ke Depan,,Pengalaman ini mendorong saya untuk terus terlibat dalam proyek sosial ke depannya
leadpro,Q20,Refleksi dan Rencana Ke Depan,,Saya merasa project ini memberikan makna dan pembelajaran penting dalam hidup saya.
leadpro,Q21,Refleksi dan Rencana Ke Depan,,Saya memiliki rencana atau ide lanjutan untuk proyek sosial serupa di masa mendatang.
leadpro,Q22,Refleksi dan Rencana Ke Depan,,Saya akan merekomendasikan pengalaman ini kepada orang lain yang ingin belajar kepemimpinan sosial.
